t,count
1554840146,1
1554840156,8
1554840166,13
1554840176,19
1554840186,25
1554840196,31
1554840206,36
1554840216,42
1554840226,48
1554840236,53
1554840246,60
1554840256,65
1554840266,71
1554840276,79
1554840286,84
1554840296,91
1554840306,96
1554840316,101
1554840326,107
1554840336,113
1554840346,120
1554840356,128
1554840366,137
1554840376,147
1554840386,157
1554840396,167
1554840406,177
1554840416,187
1554840426,197
1554840436,207
1554840446,217
1554840456,227
1554840466,237
1554840476,247
1554840486,257
