t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554841184,1,3.358276,0.000000,0.000000,0.000000,events/second
1554841194,47,4.572549,4.784009,4.796694,4.798892,events/second
1554841204,101,4.970893,4.834437,4.806720,4.802228,events/second
1554841214,167,5.517721,5.120196,4.868762,4.823195,events/second
1554841224,225,5.588136,5.236714,4.902433,4.835078,events/second
1554841234,281,5.588811,5.292485,4.925302,4.843530,events/second
1554841244,339,5.624860,5.367840,4.953869,4.854086,events/second
1554841254,400,5.692968,5.478322,4.991361,4.867844,events/second
1554841264,458,5.705977,5.526427,5.017817,4.878138,events/second
1554841274,528,5.849718,5.740492,5.079659,4.900494,events/second
1554841284,583,5.815159,5.717646,5.096663,4.908217,events/second
1554841294,635,5.759098,5.623465,5.096800,4.910339,events/second
1554841304,685,5.695886,5.541186,5.096823,4.912426,events/second
1554841314,735,5.642559,5.456825,5.093594,4.913387,events/second
1554841324,782,5.574628,5.353433,5.083860,4.912122,events/second
1554841334,828,5.510337,5.219219,5.064582,4.907553,events/second
1554841344,876,5.466250,5.152304,5.055798,4.906352,events/second
1554841354,926,5.438542,5.125087,5.053805,4.907369,events/second
1554841364,975,5.408749,5.086057,5.048572,4.907266,events/second
1554841374,1020,5.360823,4.992890,5.030451,4.902750,events/second
1554841384,1065,5.317975,4.915305,5.012979,4.898291,events/second
1554841394,1115,5.302719,4.924471,5.012389,4.899396,events/second
1554841404,1167,5.298188,4.965491,5.018485,4.902712,events/second
1554841414,1218,5.289537,4.980387,5.020912,4.904864,events/second
1554841424,1270,5.285937,5.011545,5.026674,4.908113,events/second
1554841434,1325,5.294499,5.082056,5.042000,4.914631,events/second
1554841444,1374,5.279196,5.048354,5.037099,4.914442,events/second
1554841454,1428,5.283812,5.098502,5.048832,4.919789,events/second
1554841464,1482,5.288039,5.140952,5.060181,4.925077,events/second
1554841474,1537,5.294174,5.191597,5.074409,4.931408,events/second
1554841484,1584,5.275299,5.112932,5.061997,4.928836,events/second
1554841494,1633,5.263260,5.075768,5.056495,4.928495,events/second
1554841504,1683,5.254544,5.060300,5.054479,4.929267,events/second
1554841514,1730,5.238110,5.001791,5.042721,4.926718,events/second
1554841524,1777,5.222475,4.950986,5.031294,4.924192,events/second
1554841534,1847,5.271835,5.241884,5.092203,4.945984,events/second
1554841544,1927,5.348294,5.686411,5.191056,4.980862,events/second
