t,count
1554825116,1
1554825126,6
1554825136,11
1554825146,16
1554825156,21
1554825166,26
1554825176,31
1554825186,36
1554825196,41
1554825206,46
1554825216,51
1554825226,56
1554825236,61
1554825246,66
1554825256,71
1554825266,76
1554825276,81
1554825286,86
1554825296,91
1554825306,95
1554825316,100
1554825326,105
1554825336,110
1554825346,115
1554825356,120
1554825366,125
1554825376,130
1554825386,136
1554825396,145
1554825406,153
1554825416,161
1554825426,170
1554825436,179
1554825446,189
1554825456,198
1554825466,208
