t,value
1554840125,0.0
1554840135,0.022920203735144314
1554840145,0.04499437570303712
1554840155,0.06013456686291001
1554840165,0.06682337139019476
1554840175,0.07070989379541644
1554840185,0.07467687888942078
1554840195,0.07743825868564252
1554840205,0.07938278490425729
1554840215,0.08096353295416528
1554840225,0.08072362420188507
1554840235,0.08177765394260239
1554840245,0.08279763435330419
1554840255,0.08307471950346144
1554840265,0.08375097449604633
1554840275,0.08414239482200647
1554840285,0.08497887808232636
1554840295,0.0848872808238241
1554840305,0.08339924422181211
1554840315,0.07980632774021204
1554840325,0.07655616503696637
1554840335,0.07352606419303437
1554840345,0.07061470353436389
1554840355,0.06787676472633702
1554840365,0.06522464784030976
1554840375,0.06271262597085821
1554840385,0.06038692131775759
1554840395,0.05822754633768401
1554840405,0.05621727372115772
1554840415,0.05434117581623005
1554840425,0.052586253296732874
1554840435,0.051045414255174934
1554840445,0.049496941200262906
1554840455,0.048039648657932185
1554840465,0.046665713332379996
1554840475,0.04536818202882432
1554840485,0.04414085396095405
