t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554677021,13,1.415658,1.200000,1.200000,1.200000,events/second
1554677031,27,1.407664,1.230704,1.206557,1.202210,events/second
1554677041,43,1.473703,1.272685,1.216204,1.205503,events/second
1554677051,54,1.378309,1.306943,1.225481,1.208754,events/second
1554677061,67,1.362382,1.290525,1.224646,1.208658,events/second
1554677071,80,1.351789,1.308610,1.230449,1.210778,events/second
1554677081,90,1.300935,1.245242,1.219588,1.207341,events/second
1554677091,104,1.313412,1.237018,1.218891,1.207254,events/second
1554677101,116,1.300843,1.244769,1.221469,1.208269,events/second
1554677111,129,1.300748,1.268600,1.227322,1.210388,events/second
1554677121,144,1.318979,1.272781,1.229677,1.211375,events/second
1554677131,160,1.342546,1.320458,1.241708,1.215657,events/second
1554677141,174,1.347057,1.347381,1.250149,1.218796,events/second
1554677151,182,1.307739,1.276782,1.238588,1.215264,events/second
1554677161,197,1.320616,1.280986,1.240628,1.216203,events/second
1554677171,207,1.300487,1.281987,1.242493,1.217120,events/second
1554677181,224,1.324103,1.317374,1.251017,1.220255,events/second
1554677191,238,1.328346,1.328780,1.255846,1.222235,events/second
1554677201,251,1.326835,1.337156,1.260463,1.224187,events/second
1554677211,262,1.315453,1.345525,1.264983,1.226123,events/second
1554677221,272,1.300364,1.276490,1.252990,1.222517,events/second
