t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1552572343,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572353,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572363,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572373,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572383,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572393,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572403,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552572413,493,10.052021,0.186954,0.070052,0.459305,0.135989,0.190827,0.313603,0.528609,0.719023,10.052021,6.179975,3.869850,0.799982,0.268143,calls/second,milliseconds
1552572423,1009,10.052021,0.141860,0.063445,0.312639,0.108598,0.136846,0.259217,0.327335,0.518190,1.551417,11.239618,11.190908,2.465131,0.835310,calls/second,milliseconds
1552572433,1530,10.052021,0.125788,0.063596,0.291772,0.104242,0.120375,0.202396,0.266862,0.323629,1.551417,15.336070,17.693159,4.138554,1.417268,calls/second,milliseconds
1552572443,2039,1.047319,0.107018,0.054046,0.050041,0.098291,0.113528,0.168939,0.238635,0.291026,0.711915,18.576528,23.083331,5.731270,1.983999,calls/second,milliseconds
1552572453,2489,0.544630,0.099279,0.056689,0.033373,0.093244,0.108079,0.150549,0.203331,0.238635,0.353884,20.782290,26.933436,7.120692,2.493609,calls/second,milliseconds
1552572463,2998,0.353884,0.094222,0.054090,0.028699,0.088445,0.102571,0.135480,0.189675,0.219533,0.341748,23.103448,29.721679,8.360529,2.962327,calls/second,milliseconds
1552572473,3500,0.353884,0.091702,0.056329,0.026300,0.087170,0.099358,0.127218,0.166123,0.208698,0.341748,25.041514,33.011322,9.764646,3.495298,calls/second,milliseconds
