t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1552650775,24,2.669083,2.400000,2.400000,2.400000,events/second
1552650785,50,2.633610,2.492111,2.419670,2.406630,events/second
1552650795,79,2.725743,2.511231,2.425692,2.408779,events/second
1552650805,106,2.719049,2.542128,2.434766,2.412006,events/second
1552650815,136,2.776481,2.597708,2.450046,2.417401,events/second
1552650825,166,2.814354,2.659467,2.468076,2.423839,events/second
1552650835,195,2.826786,2.695754,2.482208,2.429097,events/second
1552650845,224,2.835913,2.742461,2.499184,2.435405,events/second
1552650855,253,2.843171,2.767285,2.512351,2.440542,events/second
1552650865,277,2.798407,2.740326,2.515170,2.442298,events/second
1552650875,307,2.816750,2.736053,2.521311,2.445154,events/second
1552650885,337,2.832448,2.776573,2.537005,2.451285,events/second
1552650895,367,2.845424,2.810873,2.552184,2.457348,events/second
1552650905,395,2.842187,2.809204,2.560308,2.461134,events/second
1552650915,422,2.832648,2.822504,2.571417,2.465981,events/second
1552650925,447,2.811740,2.742929,2.562546,2.464150,events/second
1552650935,474,2.805129,2.738257,2.567134,2.466765,events/second
1552650945,501,2.799221,2.778439,2.581325,2.472657,events/second
1552650955,528,2.793984,2.720342,2.575381,2.471854,events/second
1552650965,554,2.784250,2.747283,2.585996,2.476582,events/second
1552650975,580,2.775414,2.697805,2.580062,2.475754,events/second
1552650985,607,2.772005,2.729485,2.590578,2.480445,events/second
1552650995,632,2.760104,2.648199,2.577774,2.477346,events/second
1552651005,659,2.757607,2.654234,2.581699,2.479797,events/second
1552651015,687,2.756963,2.659342,2.585495,2.482221,events/second
1552651025,714,2.756468,2.711639,2.599084,2.487942,events/second
1552651035,734,2.728793,2.631814,2.585946,2.484755,events/second
1552651045,754,2.702715,2.534819,2.566736,2.479398,events/second
