t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1552610416,20,2.087824,2.200000,2.200000,2.200000,events/second
1552610426,40,2.042481,2.169296,2.193443,2.197790,events/second
1552610436,60,2.029307,2.143306,2.187101,2.195605,events/second
1552610446,80,2.021639,2.121306,2.180967,2.193443,events/second
1552610456,100,2.017343,2.102683,2.175035,2.191306,events/second
1552610466,120,2.014530,2.086920,2.169296,2.189192,events/second
1552610476,140,2.012489,2.073576,2.163746,2.187101,events/second
1552610486,160,2.010633,2.062281,2.158378,2.185034,events/second
1552610496,180,2.009644,2.052719,2.153186,2.182989,events/second
1552610506,200,2.008686,2.044626,2.148164,2.180967,events/second
1552610516,220,2.007637,2.037775,2.143306,2.178968,events/second
1552610526,240,2.007257,2.031976,2.138608,2.176990,events/second
1552610536,260,2.006584,2.027067,2.134064,2.175035,events/second
1552610546,280,2.006143,2.022912,2.129669,2.173101,events/second
1552610556,300,2.005843,2.019394,2.125418,2.171188,events/second
1552610566,320,2.005448,2.016417,2.121306,2.169296,events/second
1552610576,340,2.005133,2.013897,2.117329,2.167426,events/second
1552610586,360,2.004671,2.011763,2.113483,2.165576,events/second
1552610596,380,2.004590,2.009957,2.109762,2.163746,events/second
1552610606,400,2.004241,2.008429,2.106164,2.161937,events/second
1552610616,420,2.004160,2.007135,2.102683,2.160147,events/second
1552610626,440,2.003978,2.006039,2.099317,2.158378,events/second
1552610636,460,2.003770,2.005112,2.096061,2.156628,events/second
1552610646,480,2.003586,2.004327,2.092912,2.154897,events/second
1552610656,500,2.003398,2.003663,2.089866,2.153186,events/second
1552610666,520,2.003338,2.003101,2.086920,2.151493,events/second
1552610676,540,2.003235,2.002625,2.084070,2.149819,events/second
1552610686,560,2.003100,2.002222,2.081314,2.148164,events/second
