t,count
1554841180,2
1554841190,7
1554841200,12
1554841210,17
1554841220,22
1554841230,27
1554841240,32
1554841250,37
1554841260,42
1554841270,47
1554841280,52
1554841290,57
1554841300,62
1554841310,67
1554841320,72
1554841330,77
1554841340,82
1554841350,87
1554841360,92
1554841370,97
1554841380,102
1554841390,107
1554841400,112
1554841410,117
1554841420,123
1554841430,129
1554841440,137
1554841450,146
1554841460,156
1554841470,165
1554841480,175
1554841490,185
1554841500,195
1554841510,205
1554841520,215
1554841530,225
1554841540,235
