t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554841170,4,5.029734,0.000000,0.000000,0.000000,events/second
1554841180,51,4.724014,4.231982,4.206611,4.202216,events/second
1554841190,113,5.430430,4.519396,4.268711,4.223189,events/second
1554841200,177,5.749084,4.820259,4.341725,4.248331,events/second
1554841210,238,5.834205,5.029517,4.402537,4.269884,events/second
1554841220,297,5.847984,5.162513,4.451603,4.287893,events/second
1554841230,352,5.791248,5.213684,4.485946,4.301284,events/second
1554841240,407,5.750514,5.256999,4.519163,4.314526,events/second
1554841250,465,5.756500,5.309656,4.554597,4.328730,events/second
1554841260,531,5.849019,5.506469,4.621599,4.353820,events/second
1554841270,596,5.914256,5.657076,4.683098,4.377526,events/second
1554841280,659,5.948164,5.784563,4.742581,4.400969,events/second
1554841290,719,5.953181,5.801645,4.780499,4.417530,events/second
1554841300,779,5.956652,5.830818,4.820424,4.435009,events/second
1554841310,837,5.945564,5.855512,4.859041,4.452296,events/second
1554841320,891,5.909226,5.769591,4.873470,4.461659,events/second
1554841330,954,5.933706,5.834388,4.916904,4.480861,events/second
1554841340,1014,5.937279,5.871968,4.955554,4.498737,events/second
1554841350,1075,5.946655,5.905057,4.992991,4.516421,events/second
1554841360,1130,5.922913,5.842234,5.009586,4.527286,events/second
1554841370,1186,5.906859,5.803768,5.028887,4.539133,events/second
1554841380,1246,5.911472,5.832615,5.060669,4.555269,events/second
1554841390,1302,5.897329,5.810338,5.081547,4.567908,events/second
1554841400,1353,5.862708,5.682101,5.078710,4.572664,events/second
1554841410,1412,5.864283,5.700200,5.102356,4.586226,events/second
1554841420,1464,5.837825,5.609977,5.102361,4.591912,events/second
1554841430,1525,5.847903,5.666017,5.131625,4.607453,events/second
1554841440,1584,5.849811,5.728166,5.163181,4.623923,events/second
1554841450,1655,5.894337,5.920859,5.223290,4.650166,events/second
1554841460,1717,5.904956,5.952205,5.254819,4.667235,events/second
1554841470,1768,5.878185,5.818179,5.249607,4.672002,events/second
1554841480,1827,5.878876,5.856969,5.277294,4.687759,events/second
1554841490,1878,5.854488,5.721573,5.268040,4.691191,events/second
1554841500,1931,5.837857,5.667091,5.272147,4.698998,events/second
1554841510,1987,5.830708,5.646563,5.282459,4.708905,events/second
1554841520,2042,5.821440,5.606154,5.286203,4.716529,events/second
1554841530,2107,5.839938,5.724188,5.322553,4.735112,events/second
1554841540,2181,5.882242,5.982734,5.390715,4.764565,events/second
