t,count
1552758637,4
1552758647,16
1552758657,26
1552758667,37
1552758677,47
1552758687,57
1552758697,67
1552758707,77
1552758717,87
1552758727,97
1552758737,107
1552758747,117
1552758757,127
1552758767,139
1552758777,152
1552758787,162
1552758797,172
1552758807,182
1552758817,194
1552758827,204
1552758837,214
1552758847,224
1552758857,234
1552758867,244
1552758877,254
1552758887,264
1552758897,274
1552758907,284
1552758917,294
