t,count
1554674942,60
1554674952,205
1554674962,351
1554674972,520
1554674982,678
1554674992,847
1554675002,1052
1554675012,1178
1554675022,1346
1554675032,1480
1554675042,1570
1554675052,1702
1554675062,1896
1554675072,2086
1554675082,2193
1554675092,2362
1554675102,2463
1554675112,2573
1554675122,2719
1554675132,2880
1554675142,3037
1554675152,3199
1554675162,3320
1554675172,3497
1554675182,3671
1554675192,3842
1554675202,4047
1554675212,4225
1554675222,4394
1554675232,4576
1554675242,4717
1554675252,4886
1554675262,4952
1554675272,4962
1554675282,4972
1554675670,110
1554675680,240
1554675690,404
1554675700,569
1554675710,732
1554675720,909
1554675730,1130
1554675740,1259
1554675750,1425
1554675760,1569
1554675770,1679
1554675780,1801
1554675790,1990
1554675800,2185
1554675810,2296
1554675820,2472
1554675830,2586
1554675840,2699
1554675850,2864
1554675860,3031
1554675870,3190
1554675880,3352
1554675890,3460
1554675900,3645
1554675910,3806
1554675920,3970
1554675930,4163
1554675940,4334
