t,count
1554841166,2
1554841176,9
1554841186,14
1554841196,19
1554841206,25
1554841216,31
1554841226,36
1554841236,42
1554841246,48
1554841256,53
1554841266,60
1554841276,65
1554841286,72
1554841296,80
1554841306,85
1554841316,91
1554841326,96
1554841336,101
1554841346,111
1554841356,120
1554841366,129
1554841376,136
1554841386,141
1554841396,147
1554841406,156
1554841416,166
1554841426,176
1554841436,186
1554841446,196
1554841456,206
1554841466,216
1554841476,226
1554841486,236
1554841496,246
1554841506,256
1554841516,266
1554841526,276
1554841536,286
