t,value
1554680645,0.4896551724137931
1554680655,0.49491525423728816
1554680665,0.4966292134831461
1554680675,0.4970588235294118
1554680685,0.49731543624161073
1554680695,0.4977653631284916
1554680705,0.49808612440191385
1554680715,0.49832635983263596
1554680725,0.49851301115241636
1554680735,0.49866220735785954
1554680745,0.4987841945288754
1554680755,0.49888579387186627
1554680765,0.49897172236503856
1554680775,0.49904534606205253
1554680785,0.499109131403118
1554680795,0.4991649269311065
1554680805,0.4992141453831041
1554680815,0.49925788497217066
