t,count
1554840144,9
1554840154,19
1554840164,28
1554840174,38
1554840184,48
1554840194,58
1554840204,65
1554840214,75
1554840224,84
1554840234,94
1554840244,104
1554840254,114
1554840264,124
1554840274,134
1554840284,144
1554840294,153
1554840304,163
1554840314,172
1554840324,182
1554840334,192
1554840344,202
1554840354,212
1554840364,221
1554840374,231
1554840384,241
1554840394,251
1554840404,261
1554840414,269
1554840424,278
1554840434,288
1554840444,297
1554840454,307
1554840464,317
1554840474,327
1554840484,337
