t,count
1554840138,2
1554840148,9
1554840158,14
1554840168,19
1554840178,25
1554840188,30
1554840198,35
1554840208,41
1554840218,47
1554840228,52
1554840238,60
1554840248,65
1554840258,71
1554840268,79
1554840278,84
1554840288,90
1554840298,95
1554840308,100
1554840318,106
1554840328,112
1554840338,119
1554840348,125
1554840358,131
1554840368,136
1554840378,141
1554840388,147
1554840398,157
1554840408,164
1554840418,174
1554840428,184
1554840438,194
1554840448,204
1554840458,214
1554840468,224
1554840478,233
