t,value
1552604193,0.0
1552604203,0.0
1552604213,0.0
1552604223,0.0
1552604233,0.0013869625520110957
1552604243,0.001176470588235294
1552604253,0.0010362694300518134
1552604263,0.0018709073900841909
1552604273,0.0016501650165016502
1552604283,0.002250562640660165
1552604293,0.00202020202020202
1552604303,0.0017615971814445098
1552604313,0.0022471910112359553
1552604323,0.00221606648199446
1552604333,0.002124269782262347
1552604343,0.002054442732408834
1552604353,0.0018475750577367205
1552604363,0.0017683465959328027
1552604373,0.002139495079161318
1552604383,0.002484472049689441
1552604393,0.002730109204368175
1552604403,0.002623688155922039
1552604413,0.0028338646829613886
1552604423,0.0026936026936026937
1552604433,0.0026101141924959217
1552604443,0.002544529262086514
1552604453,0.002484472049689441
1552604463,0.0024154589371980675
1552604473,0.0026611472501478417
1552604483,0.002573634543894767
