t,value
1554847726,0.49230769230769234
1554847736,0.4962025316455696
1554847746,0.4969187675070028
1554847756,0.4968553459119497
1554847766,0.49748743718592964
1554847776,0.497629009762901
1554847786,0.4977299880525687
1554847796,0.49696969696969695
1554847806,0.4961945424169296
1554847816,0.49373433583959897
1554847826,0.49141989369779804
1554847836,0.48907446068197635
1554847846,0.4863198458574181
1554847856,0.483840190816935
1554847866,0.4813578185865331
1554847876,0.47918622848200315
1554847886,0.4767795778105057
1554847896,0.47426981919332406
1554847906,0.4722002635046113
1554847916,0.4708385481852315
1554847926,0.46905045689312674
1554847936,0.46742510428517253
