t,count
1554824093,3
1554824103,9
1554824113,14
1554824123,20
1554824133,26
1554824143,31
1554824153,37
1554824163,42
1554824173,48
1554824183,54
1554824193,59
1554824203,65
1554824213,74
1554824223,79
1554824233,85
1554824243,91
1554824253,96
1554824263,101
1554824273,106
1554824283,114
1554824293,119
1554824303,125
1554824313,130
1554824323,135
1554824333,141
1554824343,149
1554824353,155
1554824363,161
1554824373,167
1554824383,174
1554824393,182
1554824403,190
1554824413,199
1554824423,209
1554824433,215
