t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1553046790,13,1.561633,1.600000,1.600000,1.600000,events/second
1553046800,25,1.364301,1.553305,1.590138,1.596682,events/second
1553046810,38,1.341040,1.532327,1.584013,1.594521,events/second
1553046820,48,1.252523,1.449327,1.564812,1.587946,events/second
1553046830,61,1.262173,1.428320,1.556213,1.584773,events/second
1553046840,71,1.217169,1.363844,1.538033,1.578318,events/second
1553046850,78,1.141681,1.276005,1.513782,1.569712,events/second
1553046860,92,1.174331,1.233633,1.496939,1.563417,events/second
1553046870,104,1.177414,1.241904,1.490400,1.560497,events/second
1553046880,116,1.179926,1.252740,1.484240,1.557627,events/second
1553046890,132,1.218636,1.274069,1.481424,1.555880,events/second
1553046900,146,1.234059,1.308114,1.482005,1.555259,events/second
