t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554848971,1,1.418730,0.000000,0.000000,0.000000,events/second
1554848981,11,1.028243,1.000000,1.000000,1.000000,events/second
1554848991,20,0.965648,1.000000,1.000000,1.000000,events/second
1554849001,35,1.140701,1.081234,1.016583,1.005546,events/second
1554849011,63,1.548311,1.313114,1.068439,1.023158,events/second
1554849021,100,1.972550,1.678905,1.154685,1.052733,events/second
1554849031,139,2.290907,2.005811,1.241463,1.083096,events/second
1554849041,186,2.631703,2.404066,1.351569,1.121956,events/second
1554849051,244,3.023891,2.909413,1.494100,1.172539,events/second
1554849061,312,3.440827,3.506689,1.668048,1.234720,events/second
1554849071,376,3.734525,3.948308,1.823071,1.291782,events/second
1554849081,443,4.002743,4.370104,1.982928,1.351538,events/second
1554849091,513,4.250633,4.760407,2.144211,1.412855,events/second
1554849101,581,4.445837,5.072243,2.296791,1.472375,events/second
1554849111,647,4.599281,5.320216,2.441064,1.530129,events/second
1554849121,709,4.704997,5.439288,2.560991,1.580621,events/second
1554849131,768,4.779832,5.521531,2.673571,1.629435,events/second
1554849141,838,4.909615,5.719078,2.808906,1.686574,events/second
