t,value
1552760202,0.47950089126559714
1552760212,0.4896551724137931
1552760222,0.4934696195343555
1552760232,0.49470563320626854
1552760242,0.4961161769672408
1552760252,0.4953664700926706
1552760262,0.4960346070656092
1552760272,0.49611426170972484
1552760282,0.4965491512777467
1552760292,0.4963932226136554
1552760302,0.49565614997713764
1552760312,0.49483240223463687
1552760322,0.49130266718206417
1552760332,0.48809950962803494
1552760342,0.4885615444704832
1552760352,0.48854722309381865
1552760362,0.48892825509300264
1552760372,0.4891738685995725
1552760382,0.4895695801425931
1552760392,0.48992559150572695
1552760402,0.490406814744049
1552760412,0.4906921966415926
1552760422,0.49102536152895865
