t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1552603112,6,2.048816,0.000000,0.000000,0.000000,events/second
1552603122,33,2.551183,2.231982,2.206611,2.202216,events/second
1552603132,58,2.529880,2.317905,2.226010,2.208815,events/second
1552603142,81,2.459831,2.330508,2.231714,2.210928,events/second
1552603152,109,2.538465,2.374437,2.243898,2.215239,events/second
1552603162,136,2.569454,2.425056,2.258878,2.220599,events/second
1552603172,160,2.542880,2.437201,2.266810,2.223689,events/second
1552603182,186,2.550477,2.416777,2.267925,2.224535,events/second
1552603192,216,2.604692,2.506313,2.291926,2.233104,events/second
1552603202,246,2.647272,2.582103,2.315139,2.241578,events/second
1552603212,276,2.681626,2.646257,2.337591,2.249958,events/second
1552603222,306,2.709854,2.700563,2.359308,2.258246,events/second
1552603232,333,2.708992,2.730541,2.377006,2.265334,events/second
1552603242,363,2.730955,2.742483,2.390928,2.271248,events/second
1552603252,392,2.742788,2.782017,2.410896,2.279300,events/second
1552603262,423,2.766185,2.815481,2.430209,2.287264,events/second
1552603272,453,2.780509,2.843808,2.448889,2.295139,events/second
1552603282,483,2.793111,2.867786,2.466957,2.302927,events/second
1552603292,513,2.804494,2.888084,2.484432,2.310630,events/second
1552603302,543,2.814635,2.905265,2.501334,2.318247,events/second
1552603312,573,2.823785,2.919808,2.517683,2.325780,events/second
1552603322,603,2.832030,2.932119,2.533495,2.333230,events/second
1552603332,632,2.834245,2.942540,2.548789,2.340598,events/second
1552603342,652,2.797814,2.812556,2.534048,2.337936,events/second
1552603354,676,2.754838,2.439954,2.468282,2.319048,events/second
1552603362,696,2.744825,2.644644,2.510128,2.333901,events/second
1552603372,720,2.736827,2.592374,2.503266,2.333529,events/second
1552603383,742,2.705507,2.514868,2.489964,2.330940,events/second
1552603392,763,2.695670,2.495955,2.486960,2.331697,events/second
1552603402,786,2.675090,2.450520,2.477552,2.330242,events/second
1552603412,804,2.653591,2.381357,2.461896,2.326593,events/second
1552603422,827,2.640005,2.354794,2.453365,2.325200,events/second
1552603432,846,2.619667,2.300327,2.438502,2.321607,events/second
1552603442,867,2.596012,2.254221,2.424126,2.318053,events/second
1552603452,886,2.581713,2.216472,2.410276,2.314545,events/second
1552603462,906,2.566580,2.183240,2.396825,2.311069,events/second
