t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554677021,16,1.683529,1.400000,1.400000,1.400000,events/second
1554677031,28,1.436182,1.413434,1.403196,1.401096,events/second
1554677041,42,1.423983,1.396659,1.399841,1.399982,events/second
1554677051,53,1.341905,1.397172,1.399846,1.399982,events/second
1554677061,65,1.313375,1.369460,1.393403,1.397785,events/second
1554677071,78,1.311091,1.346002,1.387172,1.395611,events/second
1554677081,86,1.237594,1.291605,1.374424,1.391234,events/second
1554677091,103,1.295744,1.278821,1.368761,1.389127,events/second
1554677101,113,1.262701,1.278876,1.366370,1.388127,events/second
1554677111,125,1.256438,1.252054,1.357665,1.384946,events/second
1554677121,140,1.278671,1.258776,1.355747,1.384004,events/second
1554677131,154,1.288830,1.309881,1.363700,1.386385,events/second
1554677141,164,1.266497,1.261030,1.351722,1.382109,events/second
1554677151,172,1.233068,1.203688,1.336830,1.376773,events/second
1554677161,188,1.257586,1.235104,1.338956,1.377036,events/second
1554677171,197,1.235203,1.196454,1.327734,1.372858,events/second
1554677181,213,1.256730,1.242414,1.333355,1.374259,events/second
1554677191,228,1.270289,1.297310,1.342096,1.376754,events/second
1554677201,238,1.256008,1.295805,1.340634,1.375896,events/second
1554677211,249,1.248202,1.251672,1.329522,1.371749,events/second
1554677221,260,1.241110,1.245018,1.325330,1.369857,events/second
