t,count
1554825107,1
1554825117,6
1554825127,11
1554825137,16
1554825147,21
1554825157,26
1554825167,31
1554825177,36
1554825187,41
1554825197,46
1554825207,51
1554825217,56
1554825227,61
1554825237,66
1554825247,71
1554825257,76
1554825267,81
1554825277,86
1554825287,91
1554825297,96
1554825307,101
1554825317,106
1554825327,111
1554825337,116
1554825347,121
1554825357,126
1554825367,131
1554825377,136
1554825387,141
1554825397,146
1554825407,151
1554825417,156
1554825427,161
1554825437,166
1554825447,171
1554825457,177
