t,count
1554840143,4
1554840153,9
1554840163,14
1554840173,19
1554840183,24
1554840193,29
1554840203,35
1554840213,41
1554840223,46
1554840233,53
1554840243,58
1554840253,64
1554840263,72
1554840273,77
1554840283,84
1554840293,89
1554840303,94
1554840313,99
1554840323,104
1554840333,112
1554840343,117
1554840353,123
1554840363,128
1554840373,133
1554840383,140
1554840393,148
1554840403,155
1554840413,161
1554840423,167
1554840433,175
1554840443,183
1554840453,189
1554840463,198
1554840473,206
1554840483,213
