t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554840153,42,4.383877,5.400000,5.400000,5.400000,events/second
1554840163,78,3.976578,4.999574,5.314707,5.371265,events/second
1554840173,128,4.327503,5.077038,5.320809,5.372690,events/second
1554840183,162,4.096731,4.954552,5.287206,5.360822,events/second
1554840193,200,4.035061,4.702466,5.222140,5.338060,events/second
1554840203,258,4.333236,4.677137,5.198711,5.328828,events/second
1554840213,297,4.271206,4.655067,5.178646,5.320725,events/second
1554840223,339,4.260427,4.666440,5.163145,5.313888,events/second
1554840233,379,4.232070,4.442593,5.098841,5.290536,events/second
1554840243,407,4.088857,4.462922,5.082323,5.282888,events/second
1554840253,457,4.171494,4.267114,5.017908,5.258832,events/second
1554840263,483,4.040524,4.299670,5.000793,5.250432,events/second
1554840273,494,3.813428,3.793110,4.869631,5.203466,events/second
1554840283,552,3.955112,3.825502,4.838526,5.189140,events/second
1554840293,583,3.898485,3.908583,4.823930,5.180396,events/second
1554840303,622,3.898652,3.803639,4.770856,5.158532,events/second
1554840313,663,3.909937,3.783253,4.735558,5.142394,events/second
1554840323,698,3.887417,3.822290,4.714312,5.130830,events/second
1554840333,756,3.987525,4.022917,4.727147,5.130511,events/second
1554840343,782,3.918599,3.959918,4.692900,5.114640,events/second
1554840353,803,3.832032,3.781850,4.630843,5.089064,events/second
1554840363,811,3.693958,3.369497,4.515061,5.044983,events/second
1554840373,822,3.580767,3.023006,4.403184,5.001402,events/second
1554840383,832,3.473287,2.681734,4.285057,4.954978,events/second
1554840393,842,3.374263,2.423557,4.177360,4.911277,events/second
1554840403,851,3.278691,2.205015,4.073194,4.868059,events/second
1554840413,861,3.194057,2.020023,3.972443,4.825319,events/second
1554840423,870,3.112193,1.847440,3.871689,4.781942,events/second
1554840433,880,3.039100,1.717342,3.777544,4.740153,events/second
1554840443,890,2.971249,1.591226,3.683179,4.697718,events/second
1554840453,900,2.907577,1.500462,3.595214,4.656860,events/second
1554840463,910,2.847711,1.423632,3.510133,4.616453,events/second
1554840473,919,2.788796,1.358597,3.427841,4.576492,events/second
1554840483,928,2.733105,1.287554,3.344941,4.535866,events/second
