t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1552261026,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261036,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261046,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261056,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261066,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261086,3,0.200125,0.158111,0.122754,0.031944,0.149526,0.200125,0.200125,0.200125,0.200125,0.200125,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261096,3,0.200125,0.158111,0.122754,0.031944,0.149526,0.200125,0.200125,0.200125,0.200125,0.200125,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261106,5,0.200125,0.136446,0.077390,0.040168,0.142791,0.149526,0.200125,0.200125,0.200125,0.200125,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
1552261116,7,0.200125,0.135259,0.077390,0.037629,0.142791,0.165053,0.200125,0.200125,0.200125,0.200125,0.000000,0.000000,0.000000,0.000000,calls/millisecond,milliseconds
