t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554847738,1,1.419860,0.000000,0.000000,0.000000,events/second
1554847748,10,0.933858,0.984009,0.996694,0.998892,events/second
1554847758,19,0.916575,0.986464,0.996803,0.998904,events/second
1554847768,35,1.139983,1.081931,1.016632,1.005552,events/second
1554847778,58,1.424319,1.256133,1.055537,1.018763,events/second
1554847788,92,1.814127,1.565429,1.128928,1.043948,events/second
1554847798,125,2.059677,1.845790,1.203328,1.069975,events/second
1554847808,162,2.291666,2.104217,1.278813,1.096848,events/second
1554847818,206,2.552057,2.457940,1.381193,1.133352,events/second
1554847828,249,2.745639,2.741369,1.476910,1.168346,events/second
1554847838,292,2.900053,2.980008,1.569434,1.202946,events/second
1554847848,339,3.062396,3.243419,1.672039,1.241584,events/second
1554847858,379,3.140205,3.359568,1.748359,1.272064,events/second
1554847868,422,3.228561,3.520572,1.835345,1.306632,events/second
1554847878,467,3.318873,3.655580,1.919424,1.340813,events/second
1554847888,512,3.397364,3.785853,2.004053,1.375724,events/second
1554847898,555,3.453908,3.862866,2.079241,1.408026,events/second
1554847908,599,3.509001,3.944048,2.155270,1.441080,events/second
1554847918,643,3.558636,4.015323,2.228915,1.473781,events/second
