t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1552609638,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609658,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609668,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609678,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609688,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609698,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1552609708,196,1.040815,0.216026,0.104771,0.101072,0.199411,0.231297,0.334923,0.416465,0.706659,1.040815,2.462437,1.515320,0.313878,0.105244,calls/second,milliseconds
1552609718,412,7.427894,0.210535,0.084010,0.368144,0.182253,0.216206,0.285078,0.359864,0.536855,7.427894,4.597475,4.784186,1.051116,0.356019,calls/second,milliseconds
1552609728,658,107.999252,0.359833,0.076150,4.386698,0.162672,0.195976,0.256140,0.333274,0.408535,107.999252,6.607565,7.629881,1.775412,0.607494,calls/second,milliseconds
1552609738,775,107.999252,0.320228,0.076150,3.943981,0.157918,0.188202,0.246635,0.304129,0.408535,107.999252,7.072107,8.772223,2.217298,0.769671,calls/second,milliseconds
1552609748,911,107.999252,0.283059,0.076150,3.517327,0.153270,0.182551,0.240607,0.287488,0.353134,107.999252,7.617787,9.321482,2.550799,0.898145,calls/second,milliseconds
1552609758,1014,107.999252,0.259878,0.068897,3.234001,0.149961,0.178795,0.233652,0.270376,0.346745,7.427894,7.824737,9.781953,2.875798,1.026209,calls/second,milliseconds
1552609768,1211,107.999252,0.235610,0.067676,2.955524,0.142602,0.169197,0.215723,0.246635,0.333274,7.427894,8.675928,10.247836,3.201261,1.156317,calls/second,milliseconds
1552609778,1403,107.999252,0.220681,0.063698,2.731335,0.138778,0.161794,0.206463,0.241360,0.300929,7.427894,9.377036,11.902343,3.790183,1.377663,calls/second,milliseconds
1552609788,1618,107.999252,0.208396,0.062844,2.519379,0.135175,0.157501,0.199070,0.241290,0.351408,7.427894,10.138120,13.235683,4.343815,1.591085,calls/second,milliseconds
1552609798,1784,107.999252,0.193923,0.062844,2.385244,0.130948,0.152354,0.191257,0.222156,0.263063,2.323311,10.518385,14.473712,4.902328,1.809892,calls/second,milliseconds
1552609808,1964,107.999252,0.185706,0.063825,2.242121,0.128479,0.149337,0.186724,0.218640,0.255528,2.323311,10.936104,14.884558,5.299920,1.977847,calls/second,milliseconds
1552609818,2042,107.999252,0.181315,0.063825,2.174365,0.128005,0.148238,0.186588,0.217959,0.241360,2.323311,10.771206,14.372016,5.508729,2.085159,calls/second,milliseconds
1552609828,2213,107.999252,0.169412,0.063825,2.013830,0.128014,0.147595,0.180858,0.200001,0.224169,2.323311,11.088476,14.309773,5.781642,2.214727,calls/second,milliseconds
1552609838,2343,2.323311,0.131195,0.063825,0.082945,0.128432,0.148003,0.178474,0.193019,0.215838,1.809938,11.178376,14.244947,6.047711,2.343835,calls/second,milliseconds
1552609848,2538,2.323311,0.134051,0.067676,0.101332,0.130215,0.148003,0.177039,0.195801,0.234872,2.151496,11.558595,14.873208,6.444389,2.518110,calls/second,milliseconds
1552609858,2722,2.323311,0.130671,0.067676,0.055098,0.129464,0.147342,0.176444,0.197383,0.228412,0.351408,11.856650,15.467074,6.843827,2.695913,calls/second,milliseconds
1552609868,2888,2.323311,0.132503,0.067676,0.052076,0.130753,0.148536,0.176801,0.203886,0.220040,0.296931,12.054677,15.654433,7.166868,2.850643,calls/second,milliseconds
1552609878,3081,0.411627,0.133774,0.068806,0.030549,0.132196,0.150817,0.181955,0.208894,0.222893,0.296931,12.344880,15.862281,7.489291,3.006994,calls/second,milliseconds
1552609888,3304,1.848021,0.137738,0.069323,0.075178,0.134452,0.152342,0.184907,0.209263,0.230965,1.848021,12.728245,16.345905,7.869362,3.184751,calls/second,milliseconds
1552609898,3508,1.848021,0.138862,0.069715,0.072622,0.134361,0.154353,0.199708,0.231833,0.266099,1.848021,13.013115,17.352735,8.367398,3.404663,calls/second,milliseconds
1552609908,3766,2.210032,0.144847,0.068329,0.112303,0.136569,0.156847,0.213371,0.257678,0.298119,2.210032,13.470509,18.670002,8.939781,3.652221,calls/second,milliseconds
1552609918,4019,8.768507,0.158255,0.067763,0.376245,0.134760,0.157282,0.215797,0.252067,0.273636,8.768507,13.879055,19.463943,9.427230,3.874876,calls/second,milliseconds
1552609928,4292,8.768507,0.171485,0.067763,0.378032,0.141686,0.163714,0.237133,0.287025,0.410009,8.768507,14.326901,20.485896,9.973965,4.120471,calls/second,milliseconds
