t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1553046790,11,1.171287,0.800000,0.800000,0.800000,events/second
1553046800,22,1.133389,0.892111,0.819670,0.806630,events/second
1553046810,34,1.156870,0.908674,0.825582,0.808766,events/second
1553046820,47,1.193371,0.953398,0.837857,0.813089,events/second
1553046830,60,1.214548,1.021959,0.856286,0.819575,events/second
1553046840,73,1.228807,1.065283,0.870860,0.824886,events/second
1553046850,88,1.267879,1.117947,0.888262,0.831247,events/second
1553046860,99,1.247091,1.145256,0.901733,0.836424,events/second
1553046870,111,1.241492,1.154939,0.911566,0.840447,events/second
1553046880,124,1.247756,1.163135,0.921077,0.844426,events/second
1553046890,137,1.252543,1.184786,0.933527,0.849463,events/second
1553046900,151,1.264887,1.203112,0.945569,0.854444,events/second
1553046910,166,1.283062,1.233338,0.960467,0.860473,events/second
1553046920,179,1.284007,1.273636,0.978127,0.867536,events/second
1553047065,6,0.678289,0.600000,0.600000,0.600000,events/second
1553047075,16,0.848749,0.630704,0.606557,0.602210,events/second
1553047085,29,1.005391,0.719380,0.626067,0.608821,events/second
1553047095,43,1.106861,0.825146,0.651494,0.617570,events/second
1553047105,57,1.165770,0.929388,0.679339,0.627323,events/second
1553047115,73,1.240516,1.017626,0.706270,0.636969,events/second
1553047125,86,1.249157,1.076328,0.729014,0.645400,events/second
1553047135,100,1.268421,1.127296,0.751066,0.653745,events/second
1553047145,114,1.282826,1.153170,0.769035,0.660882,events/second
1553047155,127,1.284958,1.191063,0.789720,0.669049,events/second
1553047165,142,1.304709,1.223138,0.809728,0.677126,events/second
1553047175,161,1.354831,1.296985,0.838941,0.688431,events/second
1553047185,180,1.397141,1.371650,0.870339,0.700702,events/second
1553047195,201,1.447765,1.497538,0.913876,0.717262,events/second
1553047205,221,1.484769,1.590666,0.952789,0.732544,events/second
1553047215,242,1.523606,1.653506,0.987121,0.746549,events/second
1553047225,262,1.551499,1.722691,1.023633,0.761507,events/second
1553047235,280,1.565546,1.718568,1.045779,0.771874,events/second
1553047245,294,1.556917,1.729791,1.070451,0.783228,events/second
1553047385,11,1.237764,0.800000,0.800000,0.800000,events/second
1553047395,30,1.586916,0.969509,0.836090,0.812158,events/second
1553047405,47,1.626111,1.097005,0.867690,0.823073,events/second
1553047415,65,1.671622,1.206206,0.898310,0.833874,events/second
1553047425,84,1.719390,1.297364,0.927871,0.844549,events/second
1553047435,104,1.764015,1.389241,0.959714,0.856208,events/second
1553047445,125,1.814876,1.497716,0.997069,0.869949,events/second
1553047455,144,1.824096,1.590817,1.033255,0.883543,events/second
