t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554825120,49,4.906948,5.000000,5.000000,5.000000,events/second
1554825130,82,4.084204,4.721638,4.938283,4.979070,events/second
1554825140,135,4.502795,4.903806,4.972361,4.990266,events/second
1554825150,179,4.478702,4.894263,4.966983,4.988195,events/second
1554825160,222,4.444224,4.795352,4.942166,4.979522,events/second
1554825170,286,4.769002,4.806294,4.937943,4.977588,events/second
1554825180,331,4.731190,4.859064,4.946206,4.980009,events/second
1554825190,378,4.726046,4.896691,4.951275,4.981337,events/second
1554825200,416,4.623810,4.677799,4.903506,4.964948,events/second
1554825210,446,4.462110,4.680568,4.896807,4.962017,events/second
1554825220,490,4.454042,4.418021,4.824726,4.936303,events/second
1554825230,504,4.200976,4.144731,4.761509,4.914496,events/second
1554825240,516,3.970025,3.752790,4.657808,4.877866,events/second
1554825250,568,4.058353,3.681991,4.610616,4.859393,events/second
1554825260,600,4.001116,3.724418,4.590325,4.849867,events/second
1554825270,641,4.007417,3.642632,4.544690,4.831630,events/second
1554825280,683,4.018630,3.785769,4.546339,4.829052,events/second
1554825290,731,4.061995,3.880065,4.541542,4.824311,events/second
1554825300,772,4.064015,4.066708,4.559823,4.827355,events/second
1554825310,789,3.945628,3.789732,4.485491,4.799401,events/second
1554825320,841,4.005682,3.722860,4.446981,4.782873,events/second
1554825330,850,3.864159,3.657952,4.412001,4.767519,events/second
1554825340,858,3.730806,3.219205,4.293586,4.723679,events/second
1554825350,868,3.616773,2.879795,4.185664,4.682540,events/second
1554825360,878,3.511965,2.450449,4.027100,4.620577,events/second
1554825370,888,3.415738,2.334478,3.977066,4.600519,events/second
1554825380,897,3.322742,2.129611,3.879467,4.560735,events/second
1554825390,907,3.239802,1.941483,3.781815,4.520288,events/second
1554825400,916,3.159170,1.780957,3.687311,4.480282,events/second
1554825410,925,3.083789,1.661066,3.599210,4.441826,events/second
1554825420,933,3.010102,1.528876,3.507441,4.401586,events/second
1554825430,942,2.943903,1.432972,3.421987,4.362898,events/second
1554825440,952,2.885187,1.351790,3.339333,4.324637,events/second
1554825450,961,2.826787,1.297784,3.262641,4.287901,events/second
