t,count
1554824093,3
1554824103,10
1554824113,15
1554824123,20
1554824133,26
1554824143,31
1554824153,37
1554824163,42
1554824173,49
1554824183,54
1554824193,61
1554824203,66
1554824213,73
1554824223,80
1554824233,85
1554824243,93
1554824253,98
1554824263,103
1554824273,108
1554824283,116
1554824293,122
1554824303,128
1554824313,134
1554824323,139
1554824333,144
1554824343,150
1554824353,158
1554824363,165
1554824373,171
1554824383,178
1554824393,185
1554824403,194
1554824413,204
1554824423,214
