t,value
1552758631,0.11538461538461539
1552758641,0.08695652173913043
1552758651,0.09482758620689655
1552758661,0.08783783783783784
1552758671,0.08823529411764706
1552758681,0.09767441860465116
1552758691,0.09322033898305085
1552758701,0.08906882591093117
1552758711,0.08208955223880597
1552758721,0.07766990291262135
1552758731,0.08074534161490683
1552758741,0.0771513353115727
1552758751,0.07988165680473373
1552758761,0.072
1552758771,0.07058823529411765
1552758781,0.06726457399103139
1552758791,0.06726457399103139
1552758801,0.0684326710816777
1552758811,0.06736842105263158
1552758821,0.06776180698151951
1552758831,0.06653225806451613
1552758841,0.07386363636363637
1552758851,0.07372400756143667
1552758861,0.07372400756143667
1552758871,0.07372400756143667
1552758881,0.07372400756143667
1552758891,0.07372400756143667
