t,count
1554825120,6
1554825130,12
1554825140,17
1554825150,23
1554825160,29
1554825170,34
1554825180,40
1554825190,45
1554825200,51
1554825210,58
1554825220,63
1554825230,70
1554825240,79
1554825250,84
1554825260,90
1554825270,95
1554825280,100
1554825290,105
1554825300,110
1554825310,118
1554825320,123
1554825330,132
1554825340,140
1554825350,149
1554825360,159
1554825370,169
1554825380,179
1554825390,188
1554825400,198
1554825410,208
1554825420,218
1554825430,228
1554825440,238
1554825450,248
