t,value
1552648534,0.4931506849315068
1552648544,0.4966216216216216
1552648554,0.4977578475336323
1552648564,0.4983221476510067
1552648574,0.49865951742627346
1552648584,0.49888392857142855
1552648594,0.49904397705544934
1552648604,0.49895484949832775
1552648614,0.4988855869242199
1552648624,0.4989973262032086
1552648634,0.4990886998784933
1552648644,0.4991648106904232
1552648654,0.4989722507708119
1552648664,0.4989265267175573
1552648674,0.49899821905609976
1552648684,0.4990609348914858
1552648694,0.4990180675569521
1552648704,0.49823813056379823
1552648714,0.4971890372452565
1552648724,0.4960781041388518
1552648734,0.49515257469802926
1552648744,0.49378033980582525
1552648754,0.4922373766686013
1552648764,0.49082313681868744
1552648774,0.48932194340630003
1552648784,0.48690965092402466
1552648794,0.48498517053880374
1552648804,0.48391325071496666
1552648814,0.4832029452369995
1552648824,0.48292927046263345
1552648834,0.4720055935029312
1552648844,0.45767306088407006
1552648854,0.45681071518827393
1552648864,0.4572704081632653
1552648874,0.4578250095310713
1552648884,0.4579318013343217
1552648894,0.45825820411107104
1552648904,0.45847963483146065
1552648914,0.45903181662675335
1552648924,0.4590368980612883
1552648934,0.4583689241407362
1552648944,0.45733571570379195
1552648954,0.4566608493310064
1552648964,0.4565093803297328
1552648974,0.4559570131554567
1552648984,0.4561174551386623
1552648994,0.4551357104843002
1552649004,0.45436859475421226
1552649014,0.454007146503318
1552649024,0.45362681340670336
1552649034,0.4521824423737126
1552649044,0.4465287798621132
1552649054,0.4390435740128992
1552649064,0.43109464258144203
1552649074,0.4233439442170684
1552649084,0.41584040494268276
1552649094,0.40858296278960915
1552649104,0.4015523932729625
1552649114,0.3947435353963544
1552649124,0.388189523412533
1552649134,0.381823151564849
1552649144,0.37568912195777865
1552649154,0.3697234352256186
1552649164,0.36397030089878857
1552649174,0.358368603308965
1552649184,0.35293671845395985
1552649194,0.34769192484757994
1552649204,0.34257692779208043
1552649214,0.3376102452579437
1552649224,0.3327855186376087
1552649234,0.32811252524303763
1552649244,0.3235614217899734
1552649254,0.3191275550987781
1552649264,0.3148135631407007
1552649274,0.3106146493275536
1552649284,0.30652626960623014
1552649294,0.3025657681065281
1552649304,0.29868547611413915
1552649314,0.294903450459006
1552649324,0.29121600500156297
1552649334,0.2876196356900278
1552649344,0.284105233196438
1552649354,0.2806813160326196
1552649364,0.27733894335728176
1552649374,0.2740752363393873
1552649384,0.27088745008335596
1552649394,0.2677729659295596
1552649404,0.2647292842799227
1552649414,0.2617540179073165
1552649424,0.2588448857111103
1552649434,0.25599970688454915
1552649444,0.2532163954626173
1552649454,0.2504929552217402
1552649464,0.24782747490511828
1552649474,0.2452181237496929
1552649484,0.24266314729274477
1552649494,0.2401608634379404
1552649504,0.23770965876229033
1552649514,0.23530798504698078
1552649524,0.23295435601640382
1552649534,0.23064734427095368
1552649544,0.22838557840028764
1552649554,0.2261677402647849
1552649564,0.22399256243387938
1552649574,0.2218588257708062
1552649584,0.2197653571540905
