t,count
1554841169,0
1554841179,20
1554841189,44
1554841199,66
1554841209,93
1554841219,121
1554841229,145
1554841239,172
1554841249,210
1554841259,267
1554841269,350
1554841279,479
1554841289,671
1554841299,805
1554841309,1035
1554841319,1286
1554841329,1489
1554841339,1678
1554841349,1809
1554841359,1974
1554841369,1974
1554841379,2030
1554841389,2030
1554841399,2030
1554841409,2030
1554841419,2030
1554841429,2030
1554841439,2030
1554841449,2030
1554841459,2030
1554841469,2030
1554841479,2030
1554841489,2030
1554841499,2030
1554841509,2030
1554841519,2030
1554841529,2133
