t,count
1554825113,4
1554825123,14
1554825133,24
1554825143,34
1554825153,43
1554825163,53
1554825173,63
1554825183,73
1554825193,82
1554825203,92
1554825213,102
1554825223,112
1554825233,122
1554825243,132
1554825253,142
1554825263,151
1554825273,161
1554825283,171
1554825293,181
1554825303,191
1554825313,201
1554825323,211
1554825333,221
1554825343,231
1554825353,241
1554825363,250
1554825373,260
1554825383,270
1554825393,280
1554825403,290
1554825413,300
1554825423,310
1554825433,320
1554825443,330
1554825453,339
1554825463,349
