t,count
1554674942,6
1554674952,13
1554674962,23
1554674972,30
1554674982,39
1554674992,48
1554675002,58
1554675012,68
1554675022,78
1554675032,87
1554675042,97
1554675052,107
1554675062,117
1554675072,127
1554675082,137
1554675092,146
1554675102,156
1554675112,166
1554675122,176
1554675132,186
1554675142,195
1554675152,205
1554675162,215
1554675172,225
1554675182,235
1554675192,245
1554675202,255
1554675212,265
1554675222,275
1554675232,284
1554675242,293
1554675252,303
1554675262,312
1554675273,323
1554675282,328
1554675670,9
1554675680,19
1554675690,29
1554675700,38
1554675710,48
1554675720,58
1554675730,67
1554675740,77
1554675750,87
1554675760,97
1554675770,107
1554675780,117
1554675790,127
1554675800,137
1554675810,147
1554675820,156
1554675830,165
1554675840,175
1554675850,184
1554675860,194
1554675870,203
1554675880,213
1554675890,223
1554675900,233
1554675910,243
1554675920,253
1554675930,263
1554675940,273
