t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554841187,8,10.928613,0.000000,0.000000,0.000000,events/second
1554841197,69,6.437453,6.320044,6.383471,6.394460,events/second
1554841207,133,6.401481,6.327205,6.383795,6.394497,events/second
1554841217,199,6.484854,6.377403,6.393861,6.397838,events/second
1554841227,256,6.290878,6.295803,6.377315,6.392298,events/second
1554841237,313,6.174462,6.183870,6.351613,6.383518,events/second
1554841247,370,6.096057,6.117267,6.333201,6.377034,events/second
1554841257,422,5.970133,5.987327,6.299137,6.365112,events/second
1554841267,477,5.910017,5.893326,6.269496,6.354429,events/second
1554841277,527,5.810707,5.749791,6.227604,6.339433,events/second
1554841287,578,5.739854,5.660274,6.193697,6.326818,events/second
1554841297,630,5.691888,5.568508,6.157595,6.313234,events/second
1554841307,688,5.700651,5.597653,6.145599,6.307533,events/second
1554841317,747,5.715501,5.638315,6.137301,6.303002,events/second
1554841327,798,5.671613,5.580624,6.109605,6.291891,events/second
1554841337,847,5.621112,5.506200,6.076479,6.278718,events/second
1554841347,933,5.806517,5.978598,6.159101,6.304355,events/second
1554841357,1003,5.876000,6.121968,6.183472,6.310946,events/second
1554841367,1052,5.822120,5.947168,6.144564,6.296449,events/second
1554841377,1099,5.763573,5.755066,6.097178,6.278805,events/second
1554841387,1163,5.794188,5.829764,6.100822,6.277965,events/second
1554841397,1231,5.842812,6.005581,6.130137,6.285925,events/second
1554841407,1291,5.850038,6.002167,6.125761,6.282753,events/second
1554841417,1311,5.683130,5.428063,6.000092,6.238718,events/second
1554841427,1324,5.500965,4.777700,5.842672,6.183036,events/second
1554841437,1338,5.337400,4.261718,5.697133,6.130197,events/second
1554841447,1357,5.205081,3.899791,5.572675,6.083459,events/second
1554841457,1377,5.086928,3.608138,5.455549,6.038338,events/second
1554841467,1387,4.941337,3.222454,5.312730,5.983768,events/second
1554841477,1397,4.805332,2.866554,5.168091,5.927598,events/second
1554841487,1406,4.676022,2.580004,5.031444,5.873149,events/second
1554841497,1416,4.557792,2.321453,4.895972,5.818195,events/second
1554841507,1426,4.446552,2.118586,4.768247,5.764956,events/second
1554841517,1435,4.339535,1.946863,4.644709,5.712305,events/second
1554841527,1444,4.238314,1.770798,4.518665,5.658026,events/second
1554841537,1454,4.146149,1.652467,4.403309,5.606557,events/second
