t,value
1552425157,0.9702247191011236
1552425187,0.9715083798882681
1552425217,0.9721189591078067
1552425247,0.9740947075208913
1552425277,0.9733853006681514
1552425307,0.973100825526389
1552425337,0.9728956362769255
1552425367,0.9727418121132049
1552425397,0.972560410357827
1552425427,0.9724153272899171
1552425457,0.9722460947373742
1552425487,0.9721514294981697
1552425517,0.9720725344281926
1552425547,0.9720424129303841
1552425577,0.9719432193024721
1552425607,0.9717521976303811
1552425637,0.9727944542541365
1552425667,0.97300886322226
1552425697,0.9729089260115269
1552425727,0.9727919515313213
1552425757,0.9726589381186809
1552425787,0.9725127583244909
1552425817,0.9724517906336089
1552425847,0.9723959057014496
1552425877,0.9723222622382286
1552425907,0.9722115343508186
1552425937,0.9721295953233708
1552425967,0.9720138144575443
1552425997,0.9719640495946956
1552426027,0.9719165647808529
1552426057,0.9725897242838192
1552426087,0.9725608697162308
1552426117,0.9725169243205012
1552426147,0.9724760145792132
1552426177,0.9724211295111379
1552426207,0.9723538582652856
1552426237,0.9723352807773756
1552426267,0.9722884342599769
1552426297,0.972243990710001
1552426327,0.9722017698623286
1552426357,0.9721751623002589
1552426387,0.9721498220499318
1552426417,0.97209981520489
1552426447,0.9721152267532173
1552426477,0.9725744909425434
1552426507,0.9725547515794306
1552426537,0.9725122069446579
1552426567,0.9724254491572514
1552426597,0.9717522453052708
