t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1552429954,20,2.168650,2.200000,2.200000,2.200000,events/second
1552429964,39,2.030452,2.169296,2.193443,2.197790,events/second
1552429974,58,1.984047,2.127315,2.183796,2.194497,events/second
1552429984,78,1.989419,2.109049,2.177825,2.192354,events/second
1552429994,98,1.991480,2.092308,2.171995,2.190228,events/second
1552430004,117,1.975918,2.063424,2.163105,2.187024,events/second
1552430014,137,1.979608,2.037696,2.154452,2.183850,events/second
1552430024,157,1.982226,2.031909,2.149389,2.181818,events/second
1552430034,176,1.973118,2.011019,2.141186,2.178701,events/second
1552430044,196,1.975782,2.009328,2.136557,2.176727,events/second
1552430054,216,1.978018,2.007896,2.132080,2.174774,events/second
1552430064,236,1.979907,2.006684,2.127750,2.172843,events/second
1552430074,256,1.981393,2.005658,2.123562,2.170933,events/second
1552430084,276,1.982786,2.004789,2.119511,2.169044,events/second
1552430094,296,1.983856,2.004054,2.115593,2.167176,events/second
1552430104,316,1.984757,2.003431,2.111803,2.165329,events/second
1552430114,336,1.985756,2.002905,2.108138,2.163502,events/second
1552430124,356,1.986304,2.002459,2.104593,2.161696,events/second
1552430134,376,1.987239,2.002081,2.101164,2.159909,events/second
1552430144,396,1.987965,2.001762,2.097847,2.158142,events/second
1552430154,416,1.988558,2.001491,2.094639,2.156395,events/second
1552430164,436,1.988642,2.001262,2.091537,2.154666,events/second
1552430174,456,1.989441,2.001069,2.088536,2.152957,events/second
1552430184,476,1.989900,2.000905,2.085633,2.151267,events/second
1552430194,494,1.981897,2.000766,2.082826,2.149596,events/second
1552430204,511,1.968910,1.939241,2.066997,2.143523,events/second
1552430214,527,1.957677,1.887161,2.051687,2.137517,events/second
1552430224,541,1.937665,1.827086,2.033573,2.130470,events/second
1552430234,559,1.932873,1.808215,2.022665,2.125716,events/second
1552430244,579,1.935072,1.822945,2.018671,2.123225,events/second
1552430254,599,1.937256,1.850126,2.018059,2.121864,events/second
1552430264,619,1.939228,1.873134,2.017467,2.120517,events/second
1552430274,638,1.938046,1.876620,2.013588,2.118078,events/second
1552430284,658,1.939851,1.895561,2.013143,2.116773,events/second
1552430294,678,1.941451,1.911594,2.012712,2.115483,events/second
1552430304,697,1.940351,1.909175,2.008989,2.113099,events/second
1552430314,716,1.937160,1.891136,2.002083,2.109633,events/second
1552430324,735,1.938224,1.907849,2.002015,2.108421,events/second
1552430334,754,1.937325,1.921995,2.001949,2.107223,events/second
1552430344,773,1.936383,1.919258,1.998634,2.104937,events/second
1552430354,791,1.932993,1.916941,1.995428,2.102675,events/second
1552430364,808,1.927396,1.868285,1.982464,2.097121,events/second
1552430374,826,1.924376,1.857802,1.976482,2.093838,events/second
1552430384,846,1.926073,1.864919,1.974002,2.091699,events/second
1552430394,866,1.927876,1.885657,1.974854,2.090686,events/second
1552430404,886,1.929233,1.903210,1.975679,2.089684,events/second
1552430414,906,1.930955,1.918069,1.976476,2.088693,events/second
1552430424,926,1.932392,1.930647,1.977247,2.087713,events/second
1552430434,946,1.933786,1.941294,1.977993,2.086744,events/second
1552430444,966,1.935059,1.950307,1.978715,2.085785,events/second
1552430454,986,1.936374,1.957935,1.979413,2.084837,events/second
1552430464,1006,1.937605,1.964393,1.980087,2.083900,events/second
1552430474,1026,1.938783,1.969859,1.980740,2.082973,events/second
1552430484,1046,1.939915,1.974487,1.981372,2.082056,events/second
1552430494,1066,1.941009,1.978403,1.981982,2.081149,events/second
1552430504,1086,1.942067,1.981719,1.982573,2.080253,events/second
1552430514,1106,1.943080,1.984525,1.983144,2.079366,events/second
1552430524,1126,1.944063,1.986901,1.983697,2.078489,events/second
1552430534,1146,1.945018,1.988912,1.984231,2.077622,events/second
1552430544,1166,1.945934,1.990614,1.984748,2.076764,events/second
1552430554,1186,1.946820,1.992055,1.985248,2.075916,events/second
1552430564,1206,1.947685,1.993275,1.985732,2.075077,events/second
1552430574,1226,1.948518,1.994307,1.986200,2.074247,events/second
1552430584,1246,1.949322,1.995181,1.986652,2.073427,events/second
1552430594,1266,1.950100,1.995921,1.987090,2.072616,events/second
1552430604,1286,1.950852,1.996547,1.987513,2.071813,events/second
1552430614,1306,1.951592,1.997077,1.987922,2.071020,events/second
1552430624,1326,1.952300,1.997526,1.988318,2.070235,events/second
1552430634,1346,1.952995,1.997906,1.988701,2.069459,events/second
1552430644,1366,1.953669,1.998227,1.989072,2.068691,events/second
1552430654,1386,1.954322,1.998499,1.989430,2.067932,events/second
1552430664,1406,1.954955,1.998730,1.989777,2.067182,events/second
1552430674,1426,1.955567,1.998925,1.990112,2.066439,events/second
1552430684,1446,1.956153,1.999090,1.990436,2.065705,events/second
1552430694,1466,1.956762,1.999230,1.990749,2.064979,events/second
1552430704,1486,1.957327,1.999348,1.991053,2.064261,events/second
1552430714,1506,1.957882,1.999448,1.991346,2.063551,events/second
1552430724,1526,1.958421,1.999533,1.991630,2.062849,events/second
1552430734,1546,1.958947,1.999604,1.991904,2.062155,events/second
1552430744,1566,1.959463,1.999665,1.992170,2.061468,events/second
1552430754,1586,1.959958,1.999717,1.992426,2.060789,events/second
1552430764,1606,1.960454,1.999760,1.992675,2.060117,events/second
