t,count
1554841189,6
1554841199,24
1554841209,37
1554841219,42
1554841229,47
1554841239,52
1554841249,71
1554841259,88
1554841269,129
1554841279,242
1554841289,366
1554841299,463
1554841309,477
1554841319,506
1554841329,527
1554841339,544
1554841349,580
1554841359,754
1554841369,847
1554841379,878
1554841389,909
1554841399,918
1554841409,931
1554841419,955
1554841429,970
1554841439,1037
1554841449,1095
1554841459,1122
1554841469,1130
1554841479,1140
1554841489,1153
1554841499,1163
1554841509,1173
1554841519,1184
1554841529,1194
1554841539,1204
